,Keratinocyte genes,p-value Keratinocyte,Fibroblast genes,p-value Fibroblast,Endothelial genes,p-value Endothelial,Lymphatic genes,p-value Lymphatic,Perivascular cell genes,p-value Perivascular cell,Schwann cell genes,p-value Schwann cell,Lymphoid genes,p-value Lymphoid,Neutrophil genes,p-value Neutrophil,Monocyte genes,p-value Monocyte,Macrophage genes,p-value Macrophage,Langerhans cell genes,p-value Langerhans cell
19,Krt15,1.9663397827323508e-306,Igf2,9.792936109795801e-235,Depp1,2.493230901734817e-50,Slc5a3,2.3328646922147925e-08,Ppp1r14a,5.701573767306897e-20,Dmd,5.308080633348931e-24,Il2rb,9.837027188136443e-38,Hdc,2.283980744184715e-38,Sirpa,1.966829048641486e-29,Selenop,0.00010567133623824605,Il1r2,3.107800690397726e-37
20,Col17a1,1.6056971479291807e-305,Lox,2.785520768478037e-234,S1pr1,2.64171075528589e-48,Slc45a3,3.39672762654858e-08,Kcne4,6.972450240543594e-20,Plekhb1,9.963921490881388e-23,Ltb,1.1477316922582031e-35,Cd300lf,1.7673673252225007e-37,F13a1,2.0292629882772578e-28,Cfh,0.0001429536068484603,Il4i1,3.5689254876077646e-35
21,Serpinb5,1.2015762394730242e-291,Prrx2,8.582005049588103e-229,Serpine1,2.905459370292535e-47,Pgm5,9.103462574174967e-08,Gja4,1.441776954355877e-19,Sox10,1.7094517852751858e-22,Ptpn22,8.151683521784148e-33,F10,2.0174665459069916e-35,Hcls1,5.9263784082964565e-28,Rab3il1,0.00018538891366814462,Dnah2,9.637921536565513e-35
22,Fam25c,1.0012585499576368e-289,Ntn1,2.6333322324950766e-210,Kitl,4.641289308508943e-46,Sgk3,1.3024546569457377e-07,Ednrb,2.0425650358189778e-19,Utrn,2.2458455985688714e-22,Satb1,1.6000427572224553e-32,Hp,4.614414634423649e-35,Pf4,7.223476719710502e-25,Ms4a6b,0.00029065300884339014,Grk3,9.64943817998995e-34
23,Ckmt1,6.228066791771001e-272,Fkbp7,4.4386547411655357e-209,Flt1,1.1193309375419723e-45,Fam189a2,2.916592248868021e-07,Gucy1b1,1.587487234188846e-18,Cldn19,4.587165963563254e-22,Klrb1b,3.0042537280324766e-30,Trem3,9.746890647967498e-33,Clec4n,7.5988714289530695e-25,Alox5,0.00038375527928990685,Cd40,1.1080282389758636e-30
24,Dsg1a,2.514435941795614e-271,Cyp26b1,1.7928828426962697e-208,Aqp1,8.443733022623885e-43,Rnf141,5.255465557197216e-07,Carmn,2.6417097391502096e-18,Ncmap,1.0861873440974496e-21,Klrd1,1.219759486227422e-26,Mcemp1,9.89955096137192e-31,Csf3,1.5053635559735857e-24,Dok2,0.0004362900779123073,Map3k14,2.7312446081678754e-29
25,Urah,3.5703287420434366e-258,Lhfp,9.216444386285875e-207,Adgrl4,2.5752660214885407e-42,Mical2,6.428805871360083e-07,Gucy1a1,3.0264741295189263e-18,Mag,8.42233580545525e-19,Sytl3,6.2515397256304105e-25,Chil1,6.943362059961545e-30,Cd36,2.845466088098624e-23,Tmem37,0.00046672387667767853,Mreg,1.8376307806878984e-28
26,Esrp1,3.703623383593601e-253,Apod,2.7629735604943905e-205,Sox7,4.895367655036695e-41,Tbc1d4,8.757918782012333e-07,Synpo2,1.2895950767642651e-17,Zfp536,1.083820270279653e-18,Lck,2.8890461095565814e-23,Ltf,3.6846247007754483e-29,Saa3,3.239941514054463e-23,Fcrls,0.000495001042048346,Rogdi,2.856558323066442e-28
27,Capns2,1.0170196171138198e-241,Srpx,8.78472255791157e-191,Lrrc32,2.2153364783511604e-40,Tec,9.015335509848094e-07,Abcc9,3.9913833393362177e-17,Hspa12a,1.098078744948786e-18,Sipa1l1,1.059943434924173e-22,Slc2a3,4.190567124085363e-29,Slc7a8,1.5434759765049178e-22,Mgl2,0.0007620016586365827,Timd4,6.60510270145095e-28
28,Trp63,5.323047591502232e-228,Cpq,1.05857254483191e-189,Podxl,4.001915448572967e-40,Clca3a1,1.117506820846855e-06,Itga7,8.789094590488321e-17,Mlip,1.282083454138891e-18,Grap2,7.56129941119877e-22,Asprv1,9.630496940631002e-29,Ifi204,9.09832814840078e-22,Tbxas1,0.004999454298474892,Rhof,5.894312186554823e-27
29,Sbsn,4.799505414902125e-211,Creb3l1,1.7276491239727282e-189,Icam2,8.746500457855626e-40,Scn3a,1.8638875331258658e-06,Notch3,8.897088818586153e-17,Itgb8,2.4513276022646428e-18,Cd69,5.1228396290093985e-20,Sp140,3.550009421348891e-27,Msr1,1.882209513014678e-21,Slamf9,0.00693392967312353,Irf5,1.0948578972353924e-26
